"Date(UTC)","UnixTimeStamp","No. of Verified Contracts"
"2022-05-21","1653091200","5"
"2022-05-22","1653177600","3"
"2022-05-23","1653264000","9"
"2022-05-24","1653350400","9"
"2022-05-25","1653436800","20"
"2022-05-26","1653523200","45"
"2022-05-27","1653609600","21"
"2022-05-28","1653696000","6"
"2022-05-29","1653782400","3"
"2022-05-30","1653868800","36"
"2022-05-31","1653955200","27"
"2022-06-01","1654041600","72"
"2022-06-02","1654128000","48"
"2022-06-03","1654214400","26"
"2022-06-04","1654300800","13"
"2022-06-05","1654387200","30"
"2022-06-06","1654473600","23"
"2022-06-07","1654560000","30"
