"Transaction","From","To","Crypto","USD","Txn","ID","Sex","Type","Skin","Slots","Rank"
"Sold","GoWest23","Carlini8",5.55,1969,2020-09-29,8444,"Guy","Male","Dark",3,"2290794000%"
"Sold","0xe45df5","GoWest23",0.5,67,2020-01-04,8444,"Guy","Male","Dark",3,"2290794000%"
"Claimed",NA,"0xe45df5",NA,NA,2017-06-23,8444,"Guy","Male","Dark",3,"2290794000%"
"Claimed",NA,"16490857",NA,NA,2017-06-23,8445,"Guy","Male","Mid",4,"1998909000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8446,"Guy","Male","Mid",4,"5641935750%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8447,"Girl","Female","Dark",3,"0.968960000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8448,"Guy","Male","Light",4,"2077416000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8449,"Guy","Male","Dark",2,"2720569500%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8450,"Girl","Female","Light",3,"1902080000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8451,"Guy","Male","Light",3,"6936798000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8452,"Guy","Male","Light",2,"1343677500%"
"Claimed",NA,"6689278",NA,NA,2017-06-23,8453,"Guy","Male","Light",3,"2043195000%"
"Claimed",NA,"6689278",NA,NA,2017-06-23,8454,"Girl","Female","Dark",2,"1303680000%"
"Sold","0x8d3eea","Slider92",1.9,780,2020-09-03,8455,"Guy","Male","Dark",3,"1787544000%"
"Sold","Hemba","0x8d3eea",0.13,49,2018-04-04,8455,"Guy","Male","Dark",3,"1787544000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8455,"Guy","Male","Dark",3,"1787544000%"
"Sold","Hemba","CryptoIn…",1.5,302,2020-05-22,8456,"Girl","Female","Albino",2,"2734080000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8456,"Girl","Female","Albino",2,"2734080000%"
"Sold","0xe4c479","0x033ee7",2.9,1031,2020-09-26,8457,"Guy","Male","Light",3,"2246508000%"
"Sold","Hemba","0xe4c479",2.5,951,2020-09-20,8457,"Guy","Male","Light",3,"2246508000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8457,"Guy","Male","Light",3,"2246508000%"
"Sold","jmg","0x0a4eaf…",0.19,47,2018-09-21,8458,"Girl","Female","Light",3,"1352960000%"
"Sold","Hemba","jmg",0.06,47,2018-05-06,8458,"Girl","Female","Light",3,"1352960000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8458,"Girl","Female","Light",3,"1352960000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8459,"Guy","Male","Light",3,"6926733000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8460,"Guy","Male","Light",3,"2498133000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8461,"Girl","Female","Mid",3,"1472000000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8462,"Guy","Male","Light",3,"2534367000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8463,"Guy","Male","Light",4,"5290164000%"
"Claimed",NA,"4774681",NA,NA,2017-06-23,8464,"Guy","Male","Light",2,"2216313000%"
"Sold","Hemba","0x7e5280",0.27,127,2017-11-26,8465,"Girl","Female","Light",3,"2137600000%"
"Claimed",NA,"0x45055c",NA,NA,2017-06-23,8465,"Girl","Female","Light",3,"2137600000%"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8466,"Guy","Male","Dark",3,"2274690000%"
"Claimed",NA,"48543",NA,NA,2017-06-23,8467,"Girl","Female","Dark",2,"0.666240000%"
"Claimed",NA,"48543",NA,NA,2017-06-23,8468,"Guy","Male","Light",3,"6177897000%"
"Claimed",NA,"48543",NA,NA,2017-06-23,8469,"Guy","Male","Light",4,"2705472000%"
"Claimed",NA,"4774681",NA,NA,2017-06-23,8470,"Girl","Female","Dark",3,"4203520000%"
"Claimed",NA,"59878",NA,NA,2017-06-23,8471,"Guy","Male","Albino",3,"1578192000%"
"Claimed",NA,"0x5462de",NA,NA,2017-06-23,8472,"Guy","Zombie","Zombie",2,"0.036036000%"
"Claimed",NA,"48543",NA,NA,2017-06-23,8473,"Guy","Male","Dark",3,"3343593000%"
"Claimed",NA,"12743405",NA,NA,2017-06-23,8474,"Guy","Male","Albino",2,"2382385500%"
"Sold","55241","4657325",0.05,26,2018-05-28,8475,"Guy","Male","Mid",2,"2859466500%"
"Claimed",NA,"55241",NA,NA,2017-06-23,8475,"Guy","Male","Mid",2,"2859466500%"
"Sold","0x5e7ee9","gaus",2.7,942,2020-09-25,8476,"Guy","Male","Mid",3,"7816479000%"
"Sold","0x86126b","0x5e7ee9",2.2,761,2020-09-24,8476,"Guy","Male","Mid",3,"7816479000%"
"Sold","Hemba","0x86126b",1.8,667,2020-09-20,8476,"Guy","Male","Mid",3,"7816479000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8476,"Guy","Male","Mid",3,"7816479000%"
"Sold","Cyborg","0x7a341c",0.2,57,2017-07-02,8477,"Guy","Male","Mid",2,"2044201500%"
"Claimed",NA,"Cyborg",NA,NA,2017-06-23,8477,"Guy","Male","Mid",2,"2044201500%"
"Claimed",NA,"12743405",NA,NA,2017-06-23,8478,"Guy","Male","Dark",3,"1888194000%"
"Claimed",NA,"12734295",NA,NA,2017-06-23,8479,"Guy","Male","Dark",4,"4994253000%"
"Claimed",NA,"6689278",NA,NA,2017-06-23,8480,"Guy","Male","Mid",3,"3414048000%"
"Claimed",NA,"6689278",NA,NA,2017-06-23,8481,"Guy","Male","Albino",3,"3512685000%"
"Claimed",NA,"6689278",NA,NA,2017-06-23,8482,"Guy","Male","Albino",2,"2050240500%"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8483,"Girl","Female","Dark",4,"3673920000%"
"Claimed",NA,"ddaavvee",NA,NA,2017-06-23,8484,"Guy","Male","Light",3,"6614718000%"
"Sold","0x000c1c…","GoWest23",0.5,87,2019-05-06,8485,"Girl","Female","Mid",4,"1275840000%"
"Claimed",NA,"0x887caa",NA,NA,2017-06-23,8485,"Girl","Female","Mid",4,"1275840000%"
"Claimed",NA,"16745492",NA,NA,2017-06-23,8486,"Guy","Male","Light",3,"1672803000%"
"Sold","55241","PB",0.7,122,2019-04-20,8487,"Girl","Female","Dark",3,"1765120000%"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8487,"Girl","Female","Dark",3,"1765120000%"
"Sold","0x8f3546","0xd71a41",3.5,1939,2020-11-22,8488,"Guy","Male","Mid",3,"1793583000%"
"Sold","0xcEd199…","0x8f3546",0.27,31,2018-12-20,8488,"Guy","Male","Mid",3,"1793583000%"
"Sold","0xc00c2b","0xcEd199…",0.32,65,2017-07-26,8488,"Guy","Male","Mid",3,"1793583000%"
"Claimed",NA,"0xc00c2b",NA,NA,2017-06-23,8488,"Guy","Male","Mid",3,"1793583000%"
"Claimed",NA,"1700403",NA,NA,2017-06-23,8489,"Guy","Male","Dark",2,"1769427000%"
"Sold","6373D","0x11c9a7",3.15,1878,2020-12-05,8490,"Guy","Male","Dark",3,"2427678000%"
"Sold","Loopify","6373D",2.4,1452,2020-11-24,8490,"Guy","Male","Dark",3,"2427678000%"
"Sold","redlione…","Loopify",4.89,1722,2020-10-06,8490,"Guy","Male","Dark",3,"2427678000%"
"Sold","0xb6be4d","redlione…",5.49,1925,2020-10-03,8490,"Guy","Male","Dark",3,"2427678000%"
"Claimed",NA,"0xb6be4d",NA,NA,2017-06-23,8490,"Guy","Male","Dark",3,"2427678000%"
"Claimed",NA,"1700403",NA,NA,2017-06-23,8491,"Guy","Male","Light",1,"1702998000%"
"Claimed",NA,"52816",NA,NA,2017-06-23,8492,"Guy","Male","Mid",3,"2709498000%"
"Claimed",NA,"3581372",NA,NA,2017-06-23,8493,"Girl","Female","Dark",3,"1367040000%"
"Sold","11976269","qiwave",0.79,178,2020-06-28,8494,"Guy","Male","Mid",3,"6147702000%"
"Claimed",NA,"0xb6be4d",NA,NA,2017-06-23,8494,"Guy","Male","Mid",3,"6147702000%"
"Sold","Pranksy","moderats",2.5,933,2020-09-14,8495,"Girl","Female","Light",4,"4069440000%"
"Sold","CPyrc","Pranksy",1.89,712,2020-09-14,8495,"Girl","Female","Light",4,"4069440000%"
"Sold","0x20e386","CPyrc",1.2,465,2020-09-13,8495,"Girl","Female","Light",4,"4069440000%"
"Claimed",NA,"0x20e386",NA,NA,2017-06-23,8495,"Girl","Female","Light",4,"4069440000%"
"Claimed",NA,"6689278",NA,NA,2017-06-23,8496,"Girl","Female","Light",3,"0.896000000%"
"Claimed",NA,"13358210",NA,NA,2017-06-23,8497,"Girl","Female","Light",3,"1655040000%"
"Sold","jmg","snowfro",3.99,5424,2018-01-14,8498,"Guy","Ape","Ape",2,"0.007704000%"
"Sold","test123.…","0x00bd3a",5,953,2017-07-11,8498,"Guy","Ape","Ape",2,"0.007704000%"
"Claimed",NA,"test123.…",NA,NA,2017-06-23,8498,"Guy","Ape","Ape",2,"0.007704000%"
"Claimed",NA,"2553668",NA,NA,2017-06-23,8499,"Guy","Male","Dark",3,"1346697000%"
"Claimed",NA,"5772875",NA,NA,2017-06-23,8500,"Guy","Male","Dark",3,"3067812000%"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8501,"Guy","Male","Dark",3,"2083455000%"
"Claimed",NA,"2553668",NA,NA,2017-06-23,8502,"Girl","Female","Albino",3,"1402880000%"
"Sold","1742511","Lumberg",1.39,287,2020-05-27,8503,"Guy","Male","Mid",3,"2486055000%"
"Claimed",NA,"0xe45df5",NA,NA,2017-06-23,8503,"Guy","Male","Mid",3,"2486055000%"
"Claimed",NA,"14233651",NA,NA,2017-06-23,8504,"Guy","Male","Light",3,"2355210000%"
"Claimed",NA,"4774681",NA,NA,2017-06-23,8505,"Girl","Female","Dark",2,"1516800000%"
"Claimed",NA,"48543",NA,NA,2017-06-23,8506,"Girl","Female","Mid",3,"0.752640000%"
"Sold","13358210","7435267",0.05,14,2017-06-27,8507,"Guy","Male","Dark",3,"2077416000%"
"Claimed",NA,"13358210",NA,NA,2017-06-23,8507,"Guy","Male","Dark",3,"2077416000%"
"Sold","parttty6","chifoomi",5.2,1835,2020-10-05,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","itsfine","parttty6",4.9,1730,2020-10-05,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","MrNFT","itsfine",2.98,1052,2020-09-26,8508,"Guy","Male","Light",3,"6848226000%"
"Sold","Pranksy","MrNFT",2.75,948,2020-09-25,8508,"Guy","Male","Light",3,"6848226000%"
