Punk,Sex,Type,Skin,TypeSkin,Slots,Att1,Att2,Att3,Att4,Att5,Att6,Att7,TypeRare,AttCount,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Min,Avg,Rank
8780,Guy,Zombie,Zombie,ZombieZombie,2,Shadow Beard,Frumpy Hair,(blank),(blank),(blank),(blank),(blank),1%,35.60%,5.26%,4.42%,,,,,,4.42%,4.84%,0.042592000%
1478,Guy,Zombie,Zombie,ZombieZombie,2,Shadow Beard,Wild Hair,(blank),(blank),(blank),(blank),(blank),1%,35.60%,5.26%,4.47%,,,,,,4.47%,4.87%,0.042812000%
7121,Guy,Zombie,Zombie,ZombieZombie,2,Frumpy Hair,Horned Rim Glasses,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.42%,5.35%,,,,,,4.42%,4.89%,0.042988000%
7458,Guy,Zombie,Zombie,ZombieZombie,3,Shadow Beard,Knitted Cap,Regular Shades,(blank),(blank),(blank),(blank),1%,45.01%,5.26%,4.19%,5.27%,,,,,4.19%,4.91%,0.043178667%
987,Guy,Zombie,Zombie,ZombieZombie,2,Wild Hair,Horned Rim Glasses,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.47%,5.35%,,,,,,4.47%,4.91%,0.043208000%
1886,Guy,Zombie,Zombie,ZombieZombie,2,Shadow Beard,Messy Hair,(blank),(blank),(blank),(blank),(blank),1%,35.60%,5.26%,4.60%,,,,,,4.60%,4.93%,0.043384000%
5761,Guy,Zombie,Zombie,ZombieZombie,2,Bandana,Horned Rim Glasses,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.81%,5.35%,,,,,,4.81%,5.08%,0.044704000%
6297,Guy,Zombie,Zombie,ZombieZombie,3,Top Hat,Cigarette,Nerd Glasses,(blank),(blank),(blank),(blank),1%,45.01%,1.15%,9.61%,4.72%,,,,,1.15%,5.16%,0.045408000%
5253,Guy,Zombie,Zombie,ZombieZombie,2,Mole,Messy Hair,(blank),(blank),(blank),(blank),(blank),1%,35.60%,6.44%,4.60%,,,,,,4.60%,5.52%,0.048576000%
4472,Guy,Zombie,Zombie,ZombieZombie,2,Purple Hair,Cigarette,(blank),(blank),(blank),(blank),(blank),1%,35.60%,1.65%,9.61%,,,,,,1.65%,5.63%,0.049544000%
6784,Guy,Zombie,Zombie,ZombieZombie,3,Frown,Bandana,Cigarette,(blank),(blank),(blank),(blank),1%,45.01%,2.61%,4.81%,9.61%,,,,,2.61%,5.68%,0.049954667%
7014,Guy,Zombie,Zombie,ZombieZombie,2,Frumpy Hair,Cigarette,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.42%,9.61%,,,,,,4.42%,7.02%,0.061732000%
6515,Guy,Zombie,Zombie,ZombieZombie,2,Wild Hair,Cigarette,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.47%,9.61%,,,,,,4.47%,7.04%,0.061952000%
3328,Guy,Zombie,Zombie,ZombieZombie,2,Messy Hair,Cigarette,(blank),(blank),(blank),(blank),(blank),1%,35.60%,4.60%,9.61%,,,,,,4.60%,7.11%,0.062524000%
2560,Guy,Zombie,Zombie,ZombieZombie,4,Front Beard,Earring,Headband,VR,(blank),(blank),(blank),1%,14.20%,2.73%,24.59%,4.06%,3.32%,,,,2.73%,8.68%,0.076340000%
4874,Guy,Zombie,Zombie,ZombieZombie,5,Mustache,Earring,Messy Hair,Cigarette,Clown Nose,(blank),(blank),1%,1.66%,2.88%,24.59%,4.60%,9.61%,2.12%,,,2.12%,8.76%,0.077088000%
4513,Guy,Zombie,Zombie,ZombieZombie,3,Luxurious Beard,Earring,Beanie,(blank),(blank),(blank),(blank),1%,45.01%,2.86%,24.59%,0.44%,,,,,0.44%,9.30%,0.081810667%
3636,Guy,Zombie,Zombie,ZombieZombie,3,Front Beard Dark,Earring,Top Hat,(blank),(blank),(blank),(blank),1%,45.01%,2.60%,24.59%,1.15%,,,,,1.15%,9.45%,0.083130667%
9838,Guy,Zombie,Zombie,ZombieZombie,3,Front Beard Dark,Earring,Peak Spike,(blank),(blank),(blank),(blank),1%,45.01%,2.60%,24.59%,3.03%,,,,,2.60%,10.07%,0.088645333%
5299,Guy,Zombie,Zombie,ZombieZombie,4,Handlebars,Earring,Mohawk Dark,Cigarette,(blank),(blank),(blank),1%,14.20%,2.63%,24.59%,4.29%,9.61%,,,,2.63%,10.28%,0.090464000%
5066,Guy,Zombie,Zombie,ZombieZombie,3,Smile,Earring,Knitted Cap,(blank),(blank),(blank),(blank),1%,45.01%,2.38%,24.59%,4.19%,,,,,2.38%,10.39%,0.091402667%
1190,Guy,Zombie,Zombie,ZombieZombie,4,Handlebars,Earring,Bandana,Cigarette,(blank),(blank),(blank),1%,14.20%,2.63%,24.59%,4.81%,9.61%,,,,2.63%,10.41%,0.091608000%
7252,Guy,Zombie,Zombie,ZombieZombie,3,Chinstrap,Earring,Crazy hair,(blank),(blank),(blank),(blank),1%,45.01%,2.82%,24.59%,4.14%,,,,,2.82%,10.52%,0.092546667%
2424,Guy,Zombie,Zombie,ZombieZombie,3,Frown,Earring,Bandana,(blank),(blank),(blank),(blank),1%,45.01%,2.61%,24.59%,4.81%,,,,,2.61%,10.67%,0.093896000%
7127,Guy,Zombie,Zombie,ZombieZombie,3,Earring,Bandana,Eye Mask,(blank),(blank),(blank),(blank),1%,45.01%,24.59%,4.81%,2.93%,,,,,2.93%,10.78%,0.094834667%
6491,Guy,Zombie,Zombie,ZombieZombie,3,Shadow Beard,Earring,Cap Forward,(blank),(blank),(blank),(blank),1%,45.01%,5.26%,24.59%,2.54%,,,,,2.54%,10.80%,0.095010667%
5234,Guy,Zombie,Zombie,ZombieZombie,3,Earring,Crazy hair,Big Shades,(blank),(blank),(blank),(blank),1%,45.01%,24.59%,4.14%,5.35%,,,,,4.14%,11.36%,0.099968000%
1374,Guy,Zombie,Zombie,ZombieZombie,3,Earring,Mohawk Dark,Big Shades,(blank),(blank),(blank),(blank),1%,45.01%,24.59%,4.29%,5.35%,,,,,4.29%,11.41%,0.100408000%
6704,Guy,Zombie,Zombie,ZombieZombie,3,Rosy Cheeks,Earring,Cigarette,(blank),(blank),(blank),(blank),1%,45.01%,1.28%,24.59%,9.61%,,,,,1.28%,11.83%,0.104074667%
